src_id,tgt_id,bge_score,predicted_rel
5.6-4B,5.2.3-2.1,0.6132,COMPLEMENTARITY
5.4-2,5.2.1-2,0.6131,COMPLEMENTARITY
5.10-1,5.1.3-4,0.6131,COMPLEMENTARITY
5.3-13,5.2.4-3,0.6129,COMPLEMENTARITY
5.1-2,5.2.2-2,0.6128,COMPLEMENTARITY
5.4-3,5.2.1-4.1,0.6127,COMPLEMENTARITY
5.3-5,5.4.1-3,0.6127,COMPLEMENTARITY
5.1-5,5.1.4-5,0.6125,COMPLEMENTARITY
5.0-1,5.1.2-1,0.6125,COMPLEMENTARITY
5.3-4A,5.2.5-1,0.6122,COMPLEMENTARITY
5.12-2,5.2.1-4.1,0.6121,COMPLEMENTARITY
5.3-5,5.2.2-6,0.6121,COMPLEMENTARITY
5.3-11,5.1.3-1,0.6119,COMPLEMENTARITY
5.2-3,5.1.4-5,0.6119,COMPLEMENTARITY
5.12-2,5.2.2-2,0.6118,COMPLEMENTARITY
5.2-3,5.2.1-4,0.6117,COMPLEMENTARITY
5.6-7,5.2.3-1,0.6116,COMPLEMENTARITY
5.5-1,5.1.2-5,0.6116,COMPLEMENTARITY
5.2-1,5.1.3-2,0.6115,COMPLEMENTARITY
5.2-2,5.1.3-1.2,0.6115,COMPLEMENTARITY
5.3-11,5.3.1-1,0.6113,COMPLEMENTARITY
5.9-3,5.1.3-4,0.6113,COMPLEMENTARITY
5.11-3,5.1.4-4,0.6113,COMPLEMENTARITY
5.3-10,5.2.5-1,0.6112,COMPLEMENTARITY
5.4-4,5.1.3-1.1,0.6112,COMPLEMENTARITY
5.10-1,5.4.2-1,0.6111,COMPLEMENTARITY
5.2-1,5.2.4-1,0.6111,COMPLEMENTARITY
5.2-3,5.3.1-2.2,0.611,COMPLEMENTARITY
5.6-3,5.2.2-2,0.611,COMPLEMENTARITY
5.9-3,5.1.3-3,0.611,COMPLEMENTARITY
5.3-5,5.4.1-1.1,0.6108,COMPLEMENTARITY
5.4-2,5.1.2-2,0.6107,COMPLEMENTARITY
5.3-5,5.1.2-5,0.6107,COMPLEMENTARITY
5.3-14,5.2.1-3.1,0.6106,COMPLEMENTARITY
5.6-9,5.2.4-1.1,0.6106,COMPLEMENTARITY
5.6-2,5.3.1-1,0.6106,COMPLEMENTARITY
5.13-1B,5.1.2-6,0.6105,COMPLEMENTARITY
5.13-1A,5.2.4-1.1,0.6105,COMPLEMENTARITY
5.5-2,5.4.1-1,0.6104,COMPLEMENTARITY
5.6-6,5.1.2-5,0.6104,COMPLEMENTARITY
5.2-1,5.2.1-4.1,0.6103,COMPLEMENTARITY
5.3-2,5.1.4-5,0.6102,COMPLEMENTARITY
5.3-1,5.1.3-1.2,0.6101,COMPLEMENTARITY
5.5-6,5.2.4-1.2,0.6101,COMPLEMENTARITY
5.5-8,5.2.4-1,0.61,COMPLEMENTARITY
5.11-2,5.2.1-3.1,0.61,COMPLEMENTARITY
5.13-1B,5.2.5-3,0.61,COMPLEMENTARITY
5.5-6,5.2.4-1.1,0.6099,COMPLEMENTARITY
5.10-1,5.1.2-5.1,0.6099,COMPLEMENTARITY
5.6-4B,5.1.2-5,0.6099,COMPLEMENTARITY
5.5-8,5.2.4-1.2,0.6098,COMPLEMENTARITY
5.5-2,5.2.2-2,0.6097,COMPLEMENTARITY
5.3-11,5.2.3-1,0.6097,COMPLEMENTARITY
5.3-2,5.2.2-2,0.6096,COMPLEMENTARITY
5.3-4A,5.2.1-1,0.6095,COMPLEMENTARITY
5.6-4B,5.2.2-4,0.6095,COMPLEMENTARITY
5.5-3,5.1.3-1.2,0.6094,COMPLEMENTARITY
